,s
25729,obo:VT_0001752
25730,ub1bL20123C1
25731,http://www.opengis.net/ont/sf#Triangle
25732,ub1bL66041C1
25733,ub1bL68775C1
25734,obo:VT_0003941
25735,obo:VT_0004972
25736,obo:VT_1000612
25737,obo:VT_0008674
25738,obo:VT_0002231
25739,untitled-ontology-65:OWLClass_e72a1121_978c_4d0f_8315_b5ea0cb7a033
25740,time:GeneralDateTimeDescription
25741,ub1bL11666C1
25742,ub1bL63078C1
25743,obo:VT_0007091
25744,ub1bL29359C1
25745,ub1bL46413C1
25746,obo:CDAO_0000041
25747,obo:VT_0015059
25748,ub1bL38448C1
25749,untitled-ontology-65:OWLClass_b6638a05_4540_4c21_93f4_ec61ba4cf803
25750,obo:VT_0001885
25751,ub1bL68557C1
25752,obo:VT_0004335
25753,obo:VT_0010157
25754,ub1bL48412C1
25755,ub1bL63845C1
25756,ub1bL60339C1
25757,Countries:Algeria
25758,time:weeks
25759,obo:VT_1000743
25760,obo:VT_0008037
25761,obo:VT_0004242
25762,obo:VT_0005645
25763,obo:VT_0015098
25764,obo:VT_0010306
25765,obo:VT_0010198
25766,ub1bL65384C1
25767,obo:VT_0006274
25768,obo:VT_0004115
25769,obo:VT_0010317
25770,ub1bL69640C1
25771,ub1bL46903C1
25772,obo:VT_0005153
25773,obo:VT_0005609
25774,obo:VT_0001669
25775,ub1bL19291C1
25776,ub1bL47888C1
25777,obo:VT_0010360
25778,obo:VT_0002651
25779,ub1bL53241C1
25780,prov:qualifiedAssociation
25781,obo:VT_1000149
25782,obo:VT_1000643
25783,ub1bL31796C1
25784,ub1bL74103C163
25785,obo:VT_0001675
25786,obo:VT_0002856
25787,ub1bL35158C1
25788,obo:VT_0000791
25789,obo:VT_0010407
25790,obo:VT_0008242
25791,ub1bL21163C1
25792,ub1bL14038C1
25793,obo:VT_0001142
25794,ub1bL38235C1
25795,obo:VT_0015051
25796,obo:VT_0008649
25797,obo:VT_0008176
25798,f48546849c0734cc2bfcb392b68f347bdb2
25799,obo:VT_0010388
25800,obo:VT_0008482
25801,obo:VT_0008463
25802,ub1bL31947C1
25803,ub1bL14826C1
25804,ub1bL48861C1
25805,obo:VT_0002136
25806,ub1bL6063C58
25807,obo:VT_0010054
25808,obo:VT_0002792
25809,obo:VT_0005272
25810,obo:VT_0010145
25811,obo:VT_0010345
25812,po:Spanish
25813,ub1bL66399C1
25814,obo:VT_0008209
25815,obo:VT_0010485
25816,obo:VT_0015110
25817,ub1bL19373C1
25818,skos:narrowerTransitive
25819,obo:VT_0000140
25820,ub1bL19153C1
25821,Countries:BosniaAndHerzegovina
25822,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#NoPrecipitation
25823,obo:VT_0001666
25824,obo:VT_0008671
25825,obo:VT_0001945
25826,ub1bL19940C1
25827,obo:VT_0002783
25828,ub1bL74567C160
25829,obo:VT_0100017
25830,obo:VT_0100005
25831,obo:VT_0010189
25832,obo:VT_0007033
25833,obo:CDAO_0000190
25834,untitled-ontology-65:OWLObjectProperty_95d6b5ef_ca47_49f7_81e0_09a16ef6b832
25835,ub1bL37800C1
25836,ub1bL16594C1
25837,obo:VT_0001219
25838,obo:VT_0005336
25839,obo:VT_1000742
25840,ub1bL6684C34
25841,ub1bL14174C1
25842,obo:VT_0003684
25843,f48546849c0734cc2bfcb392b68f347bdb312
25844,time:intervalDuring
25845,obo:SIBO_0000521
25846,ub1bL14619C1
25847,obo:VT_0003703
25848,obo:VT_0005294
25849,obo:VT_0010365
25850,ub1bL14808C1
25851,obo:VT_0010217
25852,obo:VT_1000420
25853,obo:VT_0002450
25854,obo:VT_0015008
25855,obo:VT_0005278
25856,obo:VT_0010289
25857,ub1bL58037C1
25858,obo:VT_0005272
25859,ub1bL18724C1
25860,obo:VT_0005298
25861,obo:VT_0002349
25862,ub1bL56125C1
25863,obo:VT_0010179
25864,ub1bL41307C1
25865,ub1bL66630C1
25866,ub1bL29341C1
25867,ub1bL53591C1
25868,untitled-ontology-65:OWLObjectProperty_4f96d9ef_b295_4d3e_9479_063ec945a793
25869,obo:VT_0002345
25870,untitled-ontology-65:OWLObjectProperty_630adb62_50d3_44e1_b4ee_a4bf45d667c1
25871,ub1bL40166C1
25872,obo:VT_0003444
25873,ub1bL25971C1
25874,ub1bL54047C1
25875,obo:VT_0006102
25876,ub1bL66569C1
25877,obo:VT_1000369
25878,ub1bL31321C1
25879,ub1bL14321C1
25880,ub1bL23826C1
25881,obo:VT_0000014
25882,ub1bL50700C1
25883,obo:VT_0002199
25884,f48546849c0734cc2bfcb392b68f347bdb207
25885,obo:VT_0008117
25886,ub1bL37745C1
25887,ub1bL22984C1
25888,obo:VT_0010407
25889,obo:VT_0010123
25890,obo:VT_0002327
25891,ub1bL65572C1
25892,http://www.opengis.net/ont/sf#TIN
25893,Countries:Cameroon
25894,ub1bL28398C1
25895,ub1bL21423C1
25896,f48546849c0734cc2bfcb392b68f347bdb154
25897,obo:VT_0010053
25898,obo:VT_0008604
25899,obo:VT_0003582
25900,obo:VT_0004168
25901,ub1bL68381C1
25902,ub1bL56378C1
25903,Countries:Slovakia
25904,Countries:Switzerland
25905,obo:VT_0006092
25906,obo:VT_0000374
25907,obo:VT_0001961
25908,http://www.opengis.net/ont/geosparql#Feature
25909,obo:VT_0010283
25910,ub1bL22134C1
25911,obo:VT_0006011
25912,obo:VT_0003409
25913,skos:prefLabel
25914,obo:VT_0008249
25915,ub1bL53720C1
25916,obo:VT_0001135
25917,obo:VT_0010520
25918,obo:VT_0005345
25919,ub1bL73187C131
25920,obo:VT_0000495
25921,obo:VT_0002835
25922,ub1bL68731C1
25923,Countries:Georgia
25924,untitled-ontology-65:OWLClass_100d26bb_87c5_412b_a644_bcf355ef06d5
25925,ub1bL58393C1
25926,obo:VT_0003074
25927,obo:VT_1000465
25928,obo:VT_0100030
25929,ub1bL46392C1
25930,Countries:Kyrgyzstan
25931,ub1bL28306C1
25932,ub1bL26343C1
25933,http://www.opengis.net/ont/geosparql#dimension
25934,ub1bL55262C1
25935,ub1bL61820C1
25936,f48546849c0734cc2bfcb392b68f347bdb363
25937,obo:VT_0000051
25938,ub1bL52575C1
25939,obo:VT_0001168
25940,ub1bL56190C1
25941,obo:VT_0004311
25942,obo:VT_0015108
25943,prov:qualifiedAttribution
25944,obo:VT_0008240
25945,ub1bL29484C1
25946,obo:VT_0010340
25947,obo:VT_0003027
25948,Countries:Burma
25949,obo:VT_0004209
25950,obo:VT_0005306
25951,obo:VT_0001569
25952,obo:CDAO_0000092
25953,obo:VT_2000000
25954,obo:VT_0010272
25955,ub1bL29702C1
25956,ub1bL69507C1
25957,obo:VT_0001178
25958,ub1bL69624C1
25959,f48546849c0734cc2bfcb392b68f347bdb213
25960,obo:VT_0002116
25961,obo:VT_0003843
25962,obo:VT_0010284
25963,obo:VT_0005524
25964,Countries:Germany
25965,skos:narrowerTransitive
25966,obo:SIBO_0000349
25967,ub1bL15122C1
25968,obo:VT_0003886
25969,obo:VT_0000190
25970,ub1bL57978C1
25971,obo:VT_0008643
25972,obo:CDAO_0000202
25973,skos:topConceptOf
25974,time:MonthOfYear
25975,obo:VT_0009323
25976,ub1bL37877C1
25977,Countries:Bahamas
25978,Countries:Jamaica
25979,obo:VT_0003083
25980,ub1bL55262C1
25981,obo:VT_0004107
25982,ub1bL58760C1
25983,obo:VT_0000182
25984,time:inTemporalPosition
25985,obo:VT_0000449
25986,obo:VT_0000362
25987,obo:VT_0015008
25988,obo:VT_0100023
25989,ub1bL7693C1
25990,obo:VT_0003871
25991,obo:VT_0010295
25992,obo:VT_0000771
25993,ub1bL45098C1
25994,obo:VT_0004248
25995,obo:VT_0010365
25996,ub1bL45806C1
25997,ub1bL24426C1
25998,ub1bL34098C1
25999,obo:VT_0010360
26000,obo:SIBO_0000518
26001,obo:VT_0000248
26002,obo:VT_0002446
26003,ub1bL15562C1
26004,obo:VT_0000530
26005,obo:VT_0000130
26006,ub1bL17445C1
26007,obo:VT_0005065
26008,obo:CDAO_0000029
26009,ub1bL73402C196
26010,obo:SIBO_0000397
26011,obo:VT_0002693
26012,ub1bL68575C1
26013,ub1bL74687C114
26014,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#hasCloudAltitude
26015,obo:VT_0002206
26016,obo:VT_0002416
26017,obo:VT_0004100
26018,obo:VT_0001180
26019,obo:VT_0002067
26020,ub1bL54998C1
26021,ub1bL43359C1
26022,obo:VT_0003743
26023,obo:VT_0005120
26024,ub1bL72138C34
26025,obo:VT_0001335
26026,Countries:Burma
26027,ub1bL21400C1
26028,f48546849c0734cc2bfcb392b68f347bdb367
26029,ub1bL9975C1
26030,obo:VT_0001216
26031,ub1bL29777C1
26032,obo:VT_0001087
26033,ub1bL66443C1
26034,ub1bL69442C1
26035,ub1bL48367C1
26036,obo:VT_0002645
26037,ub1bL36023C1
26038,obo:VT_0001007
26039,obo:VT_0001541
26040,obo:VT_0010136
26041,obo:VT_0010381
26042,obo:VT_0000071
26043,obo:VT_0007087
26044,obo:VT_0005294
26045,obo:VT_0004246
26046,ub1bL8721C1
26047,ub1bL74130C163
26048,untitled-ontology-65:OWLClass_7c91ed9a_bd1e_411c_99a5_28d00c86e8fa
26049,obo:VT_0002200
26050,untitled-ontology-65:OWLObjectProperty_1445b7ef_4bc4_4441_9965_d90def584a6d
26051,ub1bL18177C1
26052,obo:VT_0010371
26053,po:Maize
26054,ub1bL11095C1
26055,f48546849c0734cc2bfcb392b68f347bdb61
26056,ub1bL41872C1
26057,obo:VT_1000361
26058,obo:VT_0010322
26059,ub1bL6500C34
26060,ub1bL22593C1
26061,ub1bL33290C1
26062,obo:VT_0005416
26063,ub1bL38165C1
26064,obo:VT_0001290
26065,ub1bL55965C1
26066,obo:VT_0008398
26067,obo:VT_0010462
26068,ub1bL48344C1
26069,obo:IAO_0010000
26070,obo:VT_0000080
26071,obo:VT_0000478
26072,obo:VT_0015094
26073,prov:Delegation
26074,obo:VT_0002257
26075,ub1bL33584C1
26076,obo:VT_0008707
26077,ub1bL51768C1
26078,obo:SIBO_0000055
26079,ub1bL59449C1
26080,obo:VT_0005636
26081,obo:VT_1000742
26082,obo:VT_1000465
26083,ub1bL10255C1
26084,time:intervalMeets
26085,ub1bL30525C1
26086,obo:VT_0003935
26087,ub1bL68009C1
26088,obo:VT_0010220
26089,obo:VT_0003628
26090,obo:VT_0005543
26091,ub1bL37818C1
26092,obo:VT_0010063
26093,obo:VT_1000666
26094,ub1bL60204C1
26095,obo:VT_0000558
26096,obo:VT_0002894
26097,obo:VT_0004104
26098,ub1bL24988C1
26099,obo:VT_0010403
26100,obo:VT_0008354
26101,ub1bL47524C1
26102,ub1bL23577C1
26103,obo:IAO_0000232
26104,ub1bL40631C1
26105,Countries:Peru
26106,obo:VT_0004243
26107,obo:VT_0008463
26108,ub1bL16933C1
26109,obo:VT_0002415
26110,obo:VT_0000535
26111,obo:VT_0004236
26112,obo:VT_0004269
26113,ub1bL37644C1
26114,obo:VT_0010497
26115,obo:VT_0010038
26116,obo:VT_0002876
26117,ub1bL72122C30
26118,ub1bL26389C1
26119,obo:VT_0000239
26120,ub1bL28817C1
26121,ub1bL65071C1
26122,obo:VT_0002465
26123,obo:VT_0007010
26124,obo:VT_0000361
26125,obo:VT_0000848
26126,ub1bL73080C142
26127,untitled-ontology-65:OWLObjectProperty_beb13c1e_62be_44b8_98ad_45a403c9b5ef
26128,obo:VT_0010354
26129,ub1bL65620C1
26130,obo:VT_0002385
26131,ub1bL52751C1
26132,obo:VT_0008778
26133,obo:VT_0010271
26134,obo:VT_0004269
26135,f48546849c0734cc2bfcb392b68f347bdb136
26136,obo:VT_0003094
26137,obo:VT_0010098
26138,obo:VT_0000059
26139,obo:VT_0010060
26140,ub1bL9810C1
26141,ub1bL8605C1
26142,obo:VT_0000762
26143,obo:VT_0002911
26144,ub1bL14104C1
26145,obo:IAO_0000117
26146,obo:VT_4000013
26147,ub1bL17855C1
26148,obo:VT_0002855
26149,ub1bL10560C1
26150,ub1bL61758C1
26151,Countries:Gambia
26152,ub1bL8022C1
26153,ub1bL40263C1
26154,obo:VT_0002683
26155,time:hasDurationDescription
26156,obo:VT_0005082
26157,ub1bL65816C1
26158,obo:VT_0015000
26159,obo:SIBO_0000155
26160,obo:VT_0002782
26161,obo:VT_0004166
26162,obo:VT_0004142
26163,ub1bL24090C1
26164,ub1bL7378C34
26165,obo:VT_0003725
26166,obo:VT_0004919
26167,ub1bL43706C1
26168,ub1bL34763C1
26169,prov:Bundle
26170,ub1bL65943C1
26171,ub1bL69087C1
26172,obo:VT_0002985
26173,obo:VT_0005004
26174,obo:VT_0000170
26175,ub1bL15247C1
26176,obo:VT_0000000
26177,obo:MIAPA_0000033
26178,ub1bL45552C1
26179,ub1bL39192C1
26180,obo:VT_0000833
26181,obo:VT_0005443
26182,ub1bL74366C141
26183,Countries:Honduras
26184,obo:VT_0008631
26185,ub1bL38480C1
26186,obo:VT_0010253
26187,ub1bL59634C1
26188,obo:VT_0001775
26189,obo:IAO_0000118
26190,ub1bL18889C1
26191,obo:VT_0010022
26192,obo:VT_1000242
26193,ub1bL68248C1
26194,ub1bL22282C1
26195,obo:VT_0010124
26196,ub1bL69291C1
26197,ub1bL39038C1
26198,ub1bL26154C1
26199,obo:VT_0003463
26200,ub1bL42356C1
26201,obo:VT_0015105
26202,ub1bL72297C27
26203,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#FairWeatherState
26204,obo:VT_0010523
26205,obo:VT_0004185
26206,obo:VT_0008751
26207,obo:VT_1000067
26208,obo:CDAO_0000007
26209,ub1bL30978C1
26210,obo:VT_0010502
26211,obo:VT_0006230
26212,obo:VT_1000189
26213,obo:VT_0010238
26214,obo:VT_0015060
26215,ub1bL17107C1
26216,ub1bL53555C1
26217,ub1bL67677C1
26218,ub1bL29540C1
26219,obo:CDAO_0000216
26220,ub1bL31533C1
26221,ub1bL73481C130
26222,obo:VT_0003235
26223,ub1bL52704C1
26224,obo:VT_0010361
26225,obo:VT_0002961
26226,ub1bL69795C59
26227,ub1bL73737C107
26228,obo:VT_0001457
26229,ub1bL66488C1
26230,obo:VT_0008099
26231,f48546849c0734cc2bfcb392b68f347bdb244
26232,http://www.opengis.net/ont/sf#Surface
26233,obo:VT_0003691
26234,obo:VT_1000062
26235,ub1bL74107C205
26236,obo:VT_0010253
26237,obo:VT_0000619
26238,obo:NCBITaxon_7460
26239,skos:broader
26240,obo:VT_0009539
26241,ub1bL63466C1
26242,obo:VT_0000633
26243,ub1bL9941C1
26244,ub1bL33016C1
26245,f48546849c0734cc2bfcb392b68f347bdb175
26246,f48546849c0734cc2bfcb392b68f347bdb64
26247,obo:VT_0001416
26248,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#BelowOrZeroTemperature
26249,http://www.opengis.net/ont/geosparql#ehCovers
26250,obo:VT_0002257
26251,obo:VT_0004090
26252,obo:VT_0007033
26253,obo:VT_0010276
26254,ub1bL9975C1
26255,obo:VT_0000552
26256,ub1bL10849C1
26257,obo:VT_0003811
26258,obo:VT_0001346
26259,http://www.opengis.net/gml/Polygon
26260,ub1bL50358C1
26261,ub1bL33813C1
26262,ub1bL41170C1
26263,ub1bL35953C1
26264,obo:VT_0001705
26265,obo:VT_0001070
26266,obo:VT_0000964
26267,untitled-ontology-65:OWLObjectProperty_19caa609_bc41_406e_864b_fda938dac1e7
26268,obo:VT_0003817
26269,ub1bL55616C1
26270,obo:VT_0003085
26271,untitled-ontology-65:OWLClass_5260c847_224c_4346_ae7a_b39fcb8da2ff
26272,obo:VT_0002206
26273,obo:VT_0010428
26274,ub1bL36506C1
26275,ub1bL62394C1
26276,obo:VT_0015094
26277,obo:VT_0000166
26278,obo:VT_0010473
26279,obo:VT_0003760
26280,obo:VT_0000124
26281,obo:VT_0010228
26282,obo:VT_0008089
26283,ub1bL57706C1
26284,obo:VT_0008081
26285,Countries:Djibouti
26286,http://www.opengis.net/ont/gml#MultiSurface
26287,obo:VT_0003883
26288,ub1bL8219C1
26289,obo:VT_0015094
26290,obo:VT_0010256
26291,obo:VT_0000632
26292,obo:VT_0003762
26293,ub1bL15385C1
26294,obo:MIAPA_0000003
26295,untitled-ontology-65:OWLClass_c58a0f28_9803_4cf3_b451_a53dff21e3c4
26296,ub1bL45937C1
26297,obo:VT_0010295
26298,obo:SIBO_0000252
26299,obo:VT_0010076
26300,obo:VT_0000056
26301,obo:VT_0002734
26302,obo:VT_0000119
26303,obo:VT_0006073
26304,ub1bL49791C1
26305,ub1bL57022C1
26306,ub1bL65404C1
26307,obo:VT_0000353
26308,ub1bL66135C1
26309,ub1bL69678C1
26310,obo:VT_0004939
26311,obo:VT_0001431
26312,obo:VT_0010012
26313,obo:VT_0010211
26314,ub1bL60126C1
26315,obo:VT_0010532
26316,obo:VT_0005100
26317,ub1bL51115C1
26318,obo:VT_0015100
26319,obo:VT_0002115
26320,ub1bL15814C1
26321,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/contains
26322,prov:qualifiedCommunication
26323,obo:VT_0000857
26324,obo:VT_2000018
26325,ub1bL66041C1
26326,obo:BFO_0000051
26327,obo:VT_0001239
26328,obo:VT_0008747
26329,obo:VT_0010133
26330,ub1bL68039C1
26331,prov:qualifiedAssociation
26332,ub1bL18521C1
26333,ub1bL50855C1
26334,obo:VT_0010045
26335,obo:VT_1000165
26336,Countries:Bolivia
26337,obo:VT_0000053
26338,ub1bL29446C1
26339,obo:VT_0004266
26340,untitled-ontology-65:OWLObjectProperty_d21d3695_d10f_4770_b919_03d578a584b5
26341,ub1bL49853C1
26342,obo:VT_0006030
26343,Countries:Latvia
26344,ub1bL7750C1
26345,obo:SIBO_0000137
26346,ub1bL63466C1
26347,ub1bL17604C1
26348,f48546849c0734cc2bfcb392b68f347bdb461
26349,ub1bL34082C1
26350,obo:VT_0003723
26351,obo:VT_0005029
26352,f48546849c0734cc2bfcb392b68f347bdb121
26353,ub1bL8396C1
26354,obo:SIBO_0000400
26355,ub1bL72084C49
26356,obo:VT_1000737
26357,obo:VT_0001721
26358,obo:VT_0000579
26359,ub1bL19066C1
26360,obo:SIBO_0000397
26361,ub1bL33461C1
26362,ub1bL42869C1
26363,obo:VT_0002759
26364,http://www.opengis.net/ont/geosparql#ehEquals
26365,untitled-ontology-65:OWLObjectProperty_c2835556_cad0_4356_9e9e_d97b5e606b4d
26366,ub1bL14155C1
26367,obo:VT_0000986
26368,obo:VT_0005547
26369,ub1bL56722C1
26370,obo:VT_0010232
26371,obo:VT_0004321
26372,obo:VT_0002851
26373,ub1bL65266C1
26374,ub1bL52830C1
26375,obo:VT_0008241
26376,ub1bL14740C1
26377,ub1bL61304C1
26378,obo:VT_0004189
26379,obo:VT_0003876
26380,ub1bL16801C1
26381,obo:VT_2000018
26382,obo:VT_0000990
26383,obo:RO_0001025
26384,ub1bL30490C1
26385,obo:CDAO_0000172
26386,ub1bL52326C1
26387,ub1bL49717C1
26388,obo:VT_0010437
26389,obo:VT_0010501
26390,ub1bL73721C138
26391,ub1bL23452C1
26392,ub1bL69442C1
26393,obo:VT_0010386
26394,http://www.opengis.net/ont/geosparql#sfDisjoint
26395,po:Poaceae
26396,obo:VT_0010092
26397,obo:VT_0010327
26398,ub1bL10182C1
26399,obo:VT_0000999
26400,ub1bL50262C1
26401,http://www.opengis.net/ont/gml#GeodesicString
26402,obo:VT_0002403
26403,obo:VT_0002261
26404,obo:VT_0009629
26405,obo:VT_0010225
26406,obo:VT_0003120
26407,obo:VT_0008598
26408,ub1bL26528C1
26409,obo:VT_0004370
26410,ub1bL21544C1
26411,ub1bL66760C1
26412,obo:VT_0000011
26413,rdfs:isDefinedBy
26414,http://www.opengis.net/ont/geosparql#Geometry
26415,obo:VT_0010481
26416,f48546849c0734cc2bfcb392b68f347bdb466
26417,ub1bL41075C1
26418,f48546849c0734cc2bfcb392b68f347bdb487
26419,obo:VT_0001137
26420,http://www.semanticweb.org/yawfrimpong/ontologies/2017/11/15/untitled-ontology-152
26421,ub1bL19832C1
26422,obo:SIBO_0000526
26423,obo:VT_0010518
26424,http://www.opengis.net/ont/gml#CompositeSurface
26425,obo:VT_0002354
26426,ub1bL39825C1
26427,oboInOwl:hasScope
26428,untitled-ontology-65:OWLClass_675d6ae1_46b4_4af8_9a56_b0a2faac5382
26429,time:Year
26430,ub1bL59582C1
26431,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#DryHumidity
26432,ub1bL45705C1
26433,ub1bL74188C115
26434,obo:VT_0003592
26435,http://www.opengis.net/ont/sf#Surface
26436,obo:VT_0015103
26437,ub1bL73293C154
26438,obo:VT_0002847
26439,ub1bL57503C1
26440,ub1bL55558C1
26441,http://www.opengis.net/ont/gml#ArcStringByBulge
26442,ub1bL28606C1
26443,ub1bL49895C1
26444,ub1bL21852C1
26445,obo:VT_0010453
26446,obo:VT_0004432
26447,obo:VT_0010285
26448,obo:VT_0002825
26449,ub1bL29666C1
26450,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#hasPriority
26451,time:Year
26452,ub1bL29189C1
26453,obo:VT_0003668
26454,ub1bL13462C1
26455,obo:VT_0000470
26456,ub1bL72878C146
26457,http://www.opengis.net/ont/geosparql#Geometry
26458,obo:VT_0000907
26459,ub1bL31463C1
26460,obo:VT_0003168
26461,ub1bL44163C1
26462,ub1bL22327C1
26463,obo:VT_0005189
26464,ub1bL66735C1
26465,ub1bL37366C1
26466,ub1bL36435C1
26467,ub1bL7855C1
26468,obo:VT_0010344
26469,obo:VT_0000063
26470,obo:VT_0000267
26471,obo:VT_0004333
26472,ub1bL52729C1
26473,prov:wasAttributedTo
26474,ub1bL54371C1
26475,obo:VT_0000865
26476,obo:VT_0008188
26477,obo:VT_0006068
26478,ub1bL64851C1
26479,obo:VT_0005218
26480,ub1bL19030C1
26481,obo:VT_0009631
26482,obo:VT_0003685
26483,obo:VT_0010376
26484,obo:VT_0004288
26485,ub1bL51514C1
26486,obo:VT_0015007
26487,Countries:AmericanSamoa
26488,obo:VT_0001710
26489,ub1bL27346C1
26490,obo:VT_0001105
26491,obo:VT_0004303
26492,ub1bL58212C1
26493,ub1bL43473C1
26494,obo:VT_1000060
26495,ub1bL30547C1
26496,f48546849c0734cc2bfcb392b68f347bdb390
26497,obo:VT_0000199
26498,ub1bL61539C1
26499,Countries:Lebanon
26500,ub1bL25990C1
26501,obo:VT_0000116
26502,obo:VT_0010110
26503,Countries:WesternSahara
26504,obo:VT_1000023
26505,ub1bL24728C1
26506,obo:VT_0001710
26507,obo:VT_0006237
26508,obo:VT_0008701
26509,obo:VT_0008484
26510,obo:VT_0006279
26511,obo:VT_0001299
26512,ub1bL10920C1
26513,obo:VT_0005187
26514,obo:VT_0015094
26515,obo:VT_0001028
26516,obo:VT_0002285
26517,obo:VT_0002858
26518,ub1bL50723C1
26519,ub1bL50783C1
26520,ub1bL28552C1
26521,obo:VT_0015076
26522,obo:VT_0001091
26523,obo:VT_0002239
26524,ub1bL38129C1
26525,ub1bL43928C1
26526,obo:VT_0001323
26527,obo:VT_0004182
26528,obo:VT_0003501
26529,ub1bL44732C1
26530,obo:MIAPA_0000004
26531,obo:VT_0010185
26532,obo:VT_0003127
26533,obo:VT_1000705
26534,obo:VT_0100018
26535,skos:hasTopConcept
26536,http://www.opengis.net/ont/sf#Curve
26537,obo:VT_0000818
26538,obo:VT_0001711
26539,obo:VT_0005667
26540,untitled-ontology-65:OWLClass_16fd25d6_caf4_4d0a_a6dd_581964f772d0
26541,prov:wasAttributedTo
26542,ub1bL73274C175
26543,obo:VT_0002116
26544,obo:VT_0001705
26545,dc:title
26546,ub1bL32114C1
26547,ub1bL40090C1
26548,ub1bL50988C1
26549,ub1bL62160C1
26550,obo:VT_0010332
26551,obo:VT_0010409
26552,ub1bL50164C1
26553,ub1bL18254C1
26554,Countries:BosniaAndHerzegovina
26555,obo:VT_0002408
26556,obo:VT_0000319
26557,ub1bL44286C1
26558,obo:VT_0002921
26559,ub1bL33671C1
26560,ub1bL63746C1
26561,obo:VT_0010342
26562,obo:VT_0010430
26563,ub1bL34606C1
26564,ub1bL20932C1
26565,ub1bL13626C1
26566,ub1bL68248C1
26567,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#reportsWeatherForTimeInterval
26568,obo:VT_0000913
26569,ub1bL67278C1
26570,untitled-ontology-65:OWLClass_dc7c32ee_7434_42c3_9815_c7ad7db0417c
26571,obo:VT_0010460
26572,ub1bL1359C1
26573,ub1bL13336C1
26574,obo:VT_0007019
26575,untitled-ontology-65:OWLObjectProperty_f6c99317_de68_43ee_ab6b_c0d166e6f0de
26576,ub1bL24128C1
26577,obo:VT_0010235
26578,Countries:referencedByISO3166
26579,ub1bL19902C1
26580,ub1bL20916C1
26581,obo:VT_0010346
26582,ub1bL45029C1
26583,obo:CDAO_0000021
26584,ub1bL62986C1
26585,obo:VT_0004940
26586,ub1bL51085C1
26587,obo:VT_0002123
26588,obo:VT_0010287
26589,obo:SIBO_0000396
26590,obo:VT_0000261
26591,obo:VT_0005524
26592,obo:VT_1000072
26593,prov:invalidated
26594,obo:VT_0015047
26595,obo:VT_0006090
26596,obo:VT_0001016
26597,ub1bL33924C1
26598,ub1bL37726C1
26599,obo:VT_0005250
26600,obo:VT_0000704
26601,ub1bL51228C1
26602,obo:VT_0008643
26603,obo:VT_0003240
26604,ub1bL47240C1
26605,ub1bL14740C1
26606,prov:hadPlan
26607,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/contains
26608,obo:VT_0003668
26609,ub1bL21544C1
26610,obo:VT_0002725
26611,ub1bL28178C1
26612,obo:VT_0005158
26613,ub1bL18706C1
26614,obo:VT_0000248
26615,obo:VT_0002446
26616,obo:VT_0008245
26617,ub1bL18437C1
26618,ub1bL44564C1
26619,untitled-ontology-65:OWLClass_6fd04c60_41b5_46ba_a35f_eecdd9b2a6ea
26620,obo:VT_0003800
26621,obo:VT_0015004
26622,obo:VT_0010523
26623,obo:VT_0015050
26624,ub1bL21239C1
26625,obo:VT_1000746
26626,obo:VT_0008400
26627,obo:VT_0000674
26628,ub1bL3793C29
26629,obo:VT_0000059
26630,prov:Role
26631,ub1bL72289C27
26632,ub1bL35249C1
26633,obo:VT_0004005
26634,prov:actedOnBehalfOf
26635,obo:VT_0004221
26636,f48546849c0734cc2bfcb392b68f347bdb146
26637,obo:VT_0002174
26638,obo:VT_0006028
26639,ub1bL48390C1
26640,ub1bL45282C1
26641,prov:generatedAtTime
26642,obo:SIBO_0000323
26643,ub1bL34535C1
26644,Countries:Croatia
26645,obo:VT_0000799
26646,obo:VT_1000190
26647,ub1bL49551C1
26648,ub1bL50700C1
26649,ub1bL35459C1
26650,obo:VT_0000455
26651,owl:versionInfo
26652,obo:VT_0002243
26653,obo:VT_0010272
26654,ub1bL65337C1
26655,ub1bL19421C1
26656,obo:CDAO_0000129
26657,obo:VT_0010205
26658,ub1bL68177C1
26659,ub1bL39104C1
26660,obo:VT_0004229
26661,obo:VT_0010053
26662,ub1bL65451C1
26663,obo:VT_0004951
26664,prov:Usage
26665,ub1bL44341C1
26666,po:reference
26667,obo:VT_0010364
26668,time:intervalContains
26669,obo:VT_0004103
26670,ub1bL52386C1
26671,obo:VT_0010431
26672,obo:VT_0010448
26673,obo:VT_0010237
26674,obo:VT_0008119
26675,obo:VT_0005463
26676,ub1bL45627C1
26677,obo:VT_0010210
26678,obo:VT_1000122
26679,ub1bL29947C1
26680,Countries:Gambia
26681,obo:VT_0003412
26682,ub1bL65734C1
26683,obo:VT_0004008
26684,obo:VT_0001019
26685,obo:VT_0000717
